season,target,lag_days,geography,labels,reports,supplied_finals
2023-2024,nhsn_covid_admissions,4,US,48,0,48
2023-2024,nhsn_covid_admissions,4,states,2434,0,2434
2023-2024,nhsn_covid_admissions,11,US,48,0,48
2023-2024,nhsn_covid_admissions,11,states,2434,0,2434
2023-2024,nhsn_flu_admissions,4,US,48,32,16
2023-2024,nhsn_flu_admissions,4,states,2434,1632,802
2023-2024,nhsn_flu_admissions,11,US,48,33,15
2023-2024,nhsn_flu_admissions,11,states,2434,1683,751
2023-2024,nhsn_rsv_admissions,4,US,43,0,43
2023-2024,nhsn_rsv_admissions,4,states,1338,0,1338
2023-2024,nhsn_rsv_admissions,11,US,43,0,43
2023-2024,nhsn_rsv_admissions,11,states,1338,0,1338
2023-2024,nssp_covid_proportion,4,US,48,0,48
2023-2024,nssp_covid_proportion,4,states,2448,0,2448
2023-2024,nssp_covid_proportion,11,US,48,12,36
2023-2024,nssp_covid_proportion,11,states,2448,574,1874
2023-2024,nssp_flu_proportion,4,US,48,0,48
2023-2024,nssp_flu_proportion,4,states,2448,0,2448
2023-2024,nssp_flu_proportion,11,US,48,12,36
2023-2024,nssp_flu_proportion,11,states,2448,574,1874
2023-2024,nssp_rsv_proportion,4,US,38,0,38
2023-2024,nssp_rsv_proportion,4,states,1938,0,1938
2023-2024,nssp_rsv_proportion,11,US,38,12,26
2023-2024,nssp_rsv_proportion,11,states,1938,572,1366
2024-2025,nhsn_covid_admissions,4,US,52,34,18
2024-2025,nhsn_covid_admissions,4,states,2630,1734,896
2024-2025,nhsn_covid_admissions,11,US,52,38,14
2024-2025,nhsn_covid_admissions,11,states,2630,1938,692
2024-2025,nhsn_flu_admissions,4,US,52,29,23
2024-2025,nhsn_flu_admissions,4,states,2630,1479,1151
2024-2025,nhsn_flu_admissions,11,US,52,36,16
2024-2025,nhsn_flu_admissions,11,states,2630,1836,794
2024-2025,nhsn_rsv_admissions,4,US,52,33,19
2024-2025,nhsn_rsv_admissions,4,states,2487,1683,804
2024-2025,nhsn_rsv_admissions,11,US,52,37,15
2024-2025,nhsn_rsv_admissions,11,states,2487,1887,600
2024-2025,nssp_covid_proportion,4,US,52,7,45
2024-2025,nssp_covid_proportion,4,states,2652,350,2302
2024-2025,nssp_covid_proportion,11,US,52,43,9
2024-2025,nssp_covid_proportion,11,states,2652,2100,552
2024-2025,nssp_flu_proportion,4,US,52,7,45
2024-2025,nssp_flu_proportion,4,states,2652,343,2309
2024-2025,nssp_flu_proportion,11,US,52,43,9
2024-2025,nssp_flu_proportion,11,states,2652,2092,560
2024-2025,nssp_rsv_proportion,4,US,52,7,45
2024-2025,nssp_rsv_proportion,4,states,2652,350,2302
2024-2025,nssp_rsv_proportion,11,US,52,43,9
2024-2025,nssp_rsv_proportion,11,states,2652,2100,552
2025-2026,nhsn_covid_admissions,4,US,53,45,8
2025-2026,nhsn_covid_admissions,4,states,2703,2295,408
2025-2026,nhsn_covid_admissions,11,US,53,47,6
2025-2026,nhsn_covid_admissions,11,states,2703,2397,306
2025-2026,nhsn_flu_admissions,4,US,49,35,14
2025-2026,nhsn_flu_admissions,4,states,2499,1783,716
2025-2026,nhsn_flu_admissions,11,US,49,39,10
2025-2026,nhsn_flu_admissions,11,states,2499,2001,498
2025-2026,nhsn_rsv_admissions,4,US,53,45,8
2025-2026,nhsn_rsv_admissions,4,states,2703,2295,408
2025-2026,nhsn_rsv_admissions,11,US,53,47,6
2025-2026,nhsn_rsv_admissions,11,states,2703,2397,306
2025-2026,nssp_covid_proportion,4,US,53,43,10
2025-2026,nssp_covid_proportion,4,states,2703,2159,544
2025-2026,nssp_covid_proportion,11,US,53,47,6
2025-2026,nssp_covid_proportion,11,states,2703,2360,343
2025-2026,nssp_flu_proportion,4,US,49,37,12
2025-2026,nssp_flu_proportion,4,states,2499,1801,698
2025-2026,nssp_flu_proportion,11,US,49,41,8
2025-2026,nssp_flu_proportion,11,states,2499,2053,446
2025-2026,nssp_rsv_proportion,4,US,53,43,10
2025-2026,nssp_rsv_proportion,4,states,2703,2159,544
2025-2026,nssp_rsv_proportion,11,US,53,47,6
2025-2026,nssp_rsv_proportion,11,states,2703,2360,343
