season,target,lag_days,geography,n,weeks,locations,final_total,net_revision_pct,absolute_revision_pct,median_reported_pct,p10_reported_pct,p90_reported_pct,downward_pct
2023-2024,nhsn_flu_admissions,4,US,26,26,1,225916.0,3.4486269232812194,3.5203349917668514,97.29064157910345,94.69949244629197,100.3616255066524,11.538461538461538
2023-2024,nhsn_flu_admissions,4,states,1326,26,51,223850.0,3.4621398257761893,5.481349117712754,100.0,89.60170697012802,105.96011367096317,27.677224736048267
2023-2024,nhsn_flu_admissions,11,US,26,26,1,225916.0,2.9966890348625155,3.117973051930806,97.3716304644875,95.73516104291713,101.17687266294078,23.076923076923077
2023-2024,nhsn_flu_admissions,11,states,1326,26,51,223850.0,3.0046906410542773,4.560196560196561,100.0,95.97664717768181,103.09677934947655,25.188536953242835
2024-2025,nhsn_covid_admissions,4,US,17,17,1,188653.0,5.584326779855078,15.902742071422136,88.16590206909466,84.87143088236463,93.8445838553408,5.88235294117647
2024-2025,nhsn_covid_admissions,4,states,867,17,51,187180.0,5.441286462228871,17.09530932791965,91.92825112107623,69.39153439153439,100.0,7.151095732410612
2024-2025,nhsn_covid_admissions,11,US,21,21,1,237008.0,6.3533720380746646,6.3533720380746646,94.09277879341865,91.27126963350786,97.29695750565753,0.0
2024-2025,nhsn_covid_admissions,11,states,1071,21,51,235136.0,6.17472441480675,7.5637078116494285,97.05882352941177,83.33333333333334,100.0,7.376283846872083
2024-2025,nhsn_flu_admissions,4,US,16,16,1,430268.0,11.353621463831844,11.48005429174375,89.4620142100646,86.52426601901988,93.06494369253089,6.25
2024-2025,nhsn_flu_admissions,4,states,816,16,51,423534.0,10.88271543724943,11.804011012102924,91.68975069252078,71.33625593495442,100.0,4.901960784313726
2024-2025,nhsn_flu_admissions,11,US,21,21,1,515654.0,5.497872604498365,5.734853215528242,94.70326916505297,91.21683440073193,96.66719652413501,9.523809523809524
2024-2025,nhsn_flu_admissions,11,states,1071,21,51,506500.0,5.052517275419546,6.537216189536031,97.22991689750693,84.13461538461539,100.0,8.776844070961717
2024-2025,nhsn_rsv_admissions,4,US,16,16,1,126689.0,10.370276819613384,10.370276819613384,88.75433727884432,86.76238702561466,91.64270292661723,0.0
2024-2025,nhsn_rsv_admissions,4,states,816,16,51,123873.0,9.722861317639842,12.114020004359304,93.33333333333333,68.58552631578947,100.0,5.514705882352941
2024-2025,nhsn_rsv_admissions,11,US,20,20,1,163692.0,6.691224983505608,6.691224983505608,94.28495452365415,91.14035042112282,95.70128317620426,0.0
2024-2025,nhsn_rsv_admissions,11,states,1020,20,51,159798.0,5.583298914880036,8.520757456288564,98.82629107981221,81.81818181818183,100.0,9.705882352941178
2024-2025,nssp_covid_proportion,11,US,21,21,1,0.1780000003054738,5.786517478557148,5.786517478557148,94.11763900240017,93.38235057460206,95.09803858907557,0.0
2024-2025,nssp_covid_proportion,11,states,1024,21,49,9.425900029833429,6.8821017434362854,6.930903521935976,94.73684398639713,85.96983030639878,98.9591966431285,1.5625
2024-2025,nssp_flu_proportion,11,US,21,21,1,0.7743000139016658,4.28774603019798,4.28774603019798,95.83333387229317,94.3925211952774,96.77419161015078,0.0
