config_id,model_id,seed,identity_sha256,run,label
B0-323fbd9b1c6f,B0-323fbd9b1c6f-s42,42,323fbd9b1c6f3bd4cd795e6334e4bf8b4705262fc524f65ad20c37c6613b92dd,/Users/chadi/Research/Tapestry/data/experiments/b0_full_20260914/baseline_s42,baseline_s42
B0-323fbd9b1c6f,B0-323fbd9b1c6f-s43,43,323fbd9b1c6f3bd4cd795e6334e4bf8b4705262fc524f65ad20c37c6613b92dd,/Users/chadi/Research/Tapestry/data/experiments/b0_full_20260914/baseline_s43,baseline_s43
B0-323fbd9b1c6f,B0-323fbd9b1c6f-s44,44,323fbd9b1c6f3bd4cd795e6334e4bf8b4705262fc524f65ad20c37c6613b92dd,/Users/chadi/Research/Tapestry/data/experiments/b0_full_20260914/baseline_s44,baseline_s44
B0-c20800f1557e,B0-c20800f1557e-s42,42,c20800f1557e9197df215a841f295fd841f0aa9650519b2fa05f9d440f8fed2a,/Users/chadi/Research/Tapestry/data/experiments/b0_full_20260914/fourth_root_geo_h12_balanced_admissions_s42,fourth_root_geo_h12_balanced_admissions_s42
B0-fa4e4645314c,B0-fa4e4645314c-s42,42,fa4e4645314c3a70c61cc94c60eafe57e7e7d3c96c96237046fe7c2edf0ef81b,/Users/chadi/Research/Tapestry/data/experiments/b0_full_20260914/fourth_root_geo_h12_dynamics_s42,fourth_root_geo_h12_dynamics_s42
B0-fa4e4645314c,B0-fa4e4645314c-s43,43,fa4e4645314c3a70c61cc94c60eafe57e7e7d3c96c96237046fe7c2edf0ef81b,/Users/chadi/Research/Tapestry/data/experiments/b0_full_20260914/fourth_root_geo_h12_dynamics_s43,fourth_root_geo_h12_dynamics_s43
B0-fa4e4645314c,B0-fa4e4645314c-s44,44,fa4e4645314c3a70c61cc94c60eafe57e7e7d3c96c96237046fe7c2edf0ef81b,/Users/chadi/Research/Tapestry/data/experiments/b0_full_20260914/fourth_root_geo_h12_dynamics_s44,fourth_root_geo_h12_dynamics_s44
B0-4d0946a0dfcf,B0-4d0946a0dfcf-s42,42,4d0946a0dfcf36ee07e0b6153528c8c2afc89f65615911e0d4c5bab0f9685197,/Users/chadi/Research/Tapestry/data/experiments/b0_full_20260914/fourth_root_geo_h12_flu_only_s42,fourth_root_geo_h12_flu_only_s42
B0-96f18bffffa1,B0-96f18bffffa1-s42,42,96f18bffffa157c844c1a201ff9391f23cda225ae6216aab820624556532fd6c,/Users/chadi/Research/Tapestry/data/experiments/b0_full_20260914/fourth_root_geo_h12_s42,fourth_root_geo_h12_s42
B0-96f18bffffa1,B0-96f18bffffa1-s43,43,96f18bffffa157c844c1a201ff9391f23cda225ae6216aab820624556532fd6c,/Users/chadi/Research/Tapestry/data/experiments/b0_full_20260914/fourth_root_geo_h12_s43,fourth_root_geo_h12_s43
B0-96f18bffffa1,B0-96f18bffffa1-s44,44,96f18bffffa157c844c1a201ff9391f23cda225ae6216aab820624556532fd6c,/Users/chadi/Research/Tapestry/data/experiments/b0_full_20260914/fourth_root_geo_h12_s44,fourth_root_geo_h12_s44
B0-8afe05f2b10e,B0-8afe05f2b10e-s42,42,8afe05f2b10e4aceb3651108b96a3b9d71f217e1d22ca8ae565bc54b7bf0f558,/Users/chadi/Research/Tapestry/data/experiments/b0_full_20260914/fourth_root_geo_h26_s42,fourth_root_geo_h26_s42
B0-b1e265a36c11,B0-b1e265a36c11-s42,42,b1e265a36c11e157a89a83b02554e7814975af6d0a7886d3cbbfe730289e6704,/Users/chadi/Research/Tapestry/data/experiments/b0_full_20260914/fourth_root_geo_s42,fourth_root_geo_s42
B0-41878487e0fd,B0-41878487e0fd-s42,42,41878487e0fdd042077d188d7f8c05eaad54cf85905bdd49c746b9dd2a759329,/Users/chadi/Research/Tapestry/data/experiments/b0_full_20260914/sqrt_geo_s42,sqrt_geo_s42
B0-2a157841d7e4,B0-2a157841d7e4-s42,42,2a157841d7e46c1ec83fb7524875fe789cd074a10be859591fdca481be1788d4,/Users/chadi/Research/Tapestry/data/experiments/b0_season_cv_20260913,b0_season_cv_20260913
