model,flu_objective,admissions_objective,model_id,config_id,seed,label,flu_rank,admissions_rank
B0-c17ce3825219-s42,0.8761892390962412,0.9023115788725681,B0-c17ce3825219-s42,B0-c17ce3825219,42,latent32,1.0,2.0
B0-46059582726c-s42,0.8781410748761564,0.8638524700645828,B0-46059582726c-s42,B0-46059582726c,42,conv_h12,2.0,1.0
B0-06c2ef97395a-s44,0.8796659034158425,0.9457184079720067,B0-06c2ef97395a-s44,B0-06c2ef97395a,44,residual2,3.0,12.0
B0-46059582726c-s43,0.8800627451396057,0.9298730102799823,B0-46059582726c-s43,B0-46059582726c,43,conv_h12,4.0,11.0
B0-06c2ef97395a-s43,0.8817151223565524,0.9162146554101349,B0-06c2ef97395a-s43,B0-06c2ef97395a,43,residual2,5.0,7.0
B0-9edad5f6c6f8-s42,0.9009346511938018,1.1994699971109861,B0-9edad5f6c6f8-s42,B0-9edad5f6c6f8,42,flu_only,6.0,39.0
B0-a00d850b4623-s42,0.9042667997472648,0.909291319877419,B0-a00d850b4623-s42,B0-a00d850b4623,42,balanced,7.0,4.0
B0-9e3ee86287ef-s42,0.9050744782365701,0.9126906874489118,B0-9e3ee86287ef-s42,B0-9e3ee86287ef,42,mlp_h8,8.0,6.0
B0-06c2ef97395a-s42,0.9158681270278051,0.9101055385449935,B0-06c2ef97395a-s42,B0-06c2ef97395a,42,residual2,9.0,5.0
B0-46059582726c-s44,0.9165684700870467,0.9629623901325298,B0-46059582726c-s44,B0-46059582726c,44,conv_h12,10.0,14.0
B0-a3090f862c4c-s42,0.9201505214431346,0.9216214152727374,B0-a3090f862c4c-s42,B0-a3090f862c4c,42,mlp_h12,11.0,8.0
B0-7b6e9f118eb0-s42,0.9295534055145271,0.9818184585888644,B0-7b6e9f118eb0-s42,B0-7b6e9f118eb0,42,residual2_z32,12.0,17.0
B0-a00d850b4623-s44,0.9385747757142803,0.9066333434497349,B0-a00d850b4623-s44,B0-a00d850b4623,44,balanced,13.0,3.0
B0-9e3ee86287ef-s44,0.9436971406372632,0.99100541927929,B0-9e3ee86287ef-s44,B0-9e3ee86287ef,44,mlp_h8,14.0,20.0
B0-7b6e9f118eb0-s43,0.9441531158285252,1.0509384286697312,B0-7b6e9f118eb0-s43,B0-7b6e9f118eb0,43,residual2_z32,15.0,28.0
B0-b8911ee633a5-s42,0.9469527540478393,0.983073755965821,B0-b8911ee633a5-s42,B0-b8911ee633a5,42,state_us,16.0,18.0
B0-d4ead99b1ce0-s43,0.9498492583067528,1.0237547448727704,B0-d4ead99b1ce0-s43,B0-d4ead99b1ce0,43,anchor,17.0,23.0
B0-d4ead99b1ce0-s42,0.9541017630007982,0.9883270208266705,B0-d4ead99b1ce0-s42,B0-d4ead99b1ce0,42,anchor,18.0,19.0
B0-b8911ee633a5-s43,0.9570133390995861,1.0667755135240187,B0-b8911ee633a5-s43,B0-b8911ee633a5,43,state_us,19.0,30.0
