config_id,seed,geography,wk inc flu hosp,wk inc covid hosp,wk inc rsv hosp,wk inc flu prop ed visits,wk inc covid prop ed visits,wk inc rsv prop ed visits,combined,horizon
B1 B gap-only,42,all,0.95804463285967,0.9915140188887981,1.0928465402967973,1.1058931949766257,1.0972605972244631,1.0445909416956178,1.0369505686652485,0
B1 B gap-only,43,all,1.051779663282249,0.9730310371992243,1.0465189310645746,1.1763223053837137,0.9937893465586297,1.252194336210309,1.0627739168049721,0
B1 B gap-only,44,all,0.9975920224485278,0.99603530904425,1.345303353230784,1.0783329209203307,1.0055594809187323,1.2841490818346781,1.1162114281245408,0
B1 B no-mask,42,all,1.049689540493733,0.9980526174094873,0.9881921113292242,1.1368311491656147,1.1246479389631392,1.3797400305767407,1.0792319619078203,0
B1 B no-mask,43,all,1.0393758983338286,0.9853795155578503,1.121485034888185,1.1139070392073622,1.0320924435233325,1.3180468462480173,1.084058580726493,0
B1 B no-mask,44,all,0.9794278256795025,1.0294743366973635,1.029040248580476,1.098620817074637,0.9980604453348859,1.242944587702575,1.04616785244742,0
B1 gated 0.20,42,all,1.0372385096814372,0.9712179568601806,1.025283016646236,1.1013995416809463,1.0107172946714855,1.3834997791860064,1.0625661757682385,0
B1 gated 0.20,43,all,1.3229062554680935,1.0742535382031353,1.209335812028567,1.1584300515199486,1.1560236050855348,1.2880860434920942,1.2017256568330188,0
B1 gated 0.20,44,all,1.1855838117484767,1.0042877869527365,1.0079872940929235,1.1251899801108027,1.0237978636346994,1.3327398938993829,1.0974939470259066,0
B1 joint two-stage,42,all,1.1248413269351254,1.0314641660896307,1.2423263986646254,1.211170779331517,1.0314719237698642,1.3761463842009067,1.15733920785345,0
B1 joint two-stage,43,all,1.3929539005667662,1.0606148431966287,1.11056187650409,1.3046842816708357,3.794929264928287,1.2708677511339852,1.4998602820297866,0
B1 joint two-stage,44,all,1.3236477256103945,0.951936823194576,1.09824790532728,1.030643247325523,1.1055405328080705,1.3351918856774418,1.1354489526750597,0
Forward Direct B,42,all,1.0789631131004154,1.3208396697515412,1.3847567287355238,1.3212695504628775,1.394683509279852,2.4158420887707783,1.4112126857431633,0
Forward Direct B,43,all,0.9793058771935188,1.3656826510651938,1.3454710409508148,1.6096086816025645,1.219266622050608,1.9583340843666035,1.3520142807154256,0
Forward Direct B,44,all,1.1859606936763478,1.2008135997080713,1.7343583319679772,1.512736575106887,1.2601288711805145,2.621656098999758,1.5151985328879944,0
Forward Joint gated,42,all,1.19146962035695,1.4381367067235742,1.3259582117932514,1.1546570725194034,1.8130065667027289,1.5720530394312762,1.3834273062667732,0
Forward Joint gated,43,all,1.3482376221410994,1.2473504019762656,1.5347300156994812,1.1750147568416727,1.456620468904705,2.0425644214262495,1.4372039696451466,0
Forward Joint gated,44,all,1.1985459855891338,1.0637331779037147,1.281588003486907,1.178588166819102,1.824827925073271,2.1644393291498347,1.361732195000191,0
Forward Separate,42,all,1.1326842550351148,1.0583642099450896,1.2954054035879008,1.3031616140075666,1.159594764219862,1.4074919922854523,1.2047951230721212,0
