config_id,seed,target,season,geography,locations,us_weight_used,n,model_wis,model_dispersion,model_underprediction,model_overprediction,model_ae_median,model_covered_50,model_covered_80,model_covered_90,model_covered_95,ensemble_wis,ensemble_dispersion,ensemble_underprediction,ensemble_overprediction,ensemble_ae_median,ensemble_covered_50,ensemble_covered_80,ensemble_covered_90,ensemble_covered_95,wis_ratio,pooled_wis_ratio,model_coverage_50,model_coverage_80,model_coverage_90,model_coverage_95,ensemble_coverage_50,ensemble_coverage_80,ensemble_coverage_90,ensemble_coverage_95
B1 B gap-only,42,wk inc covid hosp,2025-2026,all,52,0.20000000000000007,9048.0,201138.5291304348,61693.48565217391,90666.00000000001,48779.04347826087,308016.0,4127.0,6363.0,7231.0,7748.0,251503.70978939498,102039.96804152087,70756.4623304223,78707.27941745178,396424.6389596296,4576.0,7150.0,7993.0,8484.0,0.8857063223499423,0.799743786279991,0.4292540004507551,0.6912102772143341,0.7959432048681544,0.8552625647960336,0.5195176921343251,0.7918187964841109,0.8741717376605818,0.9417399143565475
B1 B gap-only,42,wk inc covid hosp,2025-2026,states_dc,51,0.0,8874.0,122395.93391304348,42250.151304347826,56379.04347826088,23766.739130434784,187683.0,4073.0,6252.0,7095.0,7600.0,137533.1523161514,55676.68777243521,42712.03193647525,39144.43260724092,215812.05818140364,4475.0,7011.0,7848.0,8317.0,0.9344071635817234,0.889937675766265,0.45898129366689205,0.704530087897228,0.799526707234618,0.8564345278341223,0.5042821726391706,0.7900608519269777,0.8843813387423937,0.937232364210052
B1 B gap-only,42,wk inc covid hosp,2025-2026,US,1,1.0,174.0,78742.5952173913,19443.334347826087,34286.956521739135,25012.304347826088,120333.0,54.0,111.0,136.0,148.0,113970.55747324359,46363.28026908566,28044.430393947056,39562.84681021086,180612.58077822594,101.0,139.0,145.0,167.0,0.6909029574228184,0.6909029574228184,0.3103448275862069,0.6379310344827587,0.7816091954022989,0.8505747126436781,0.5804597701149425,0.7988505747126436,0.8333333333333334,0.9597701149425287
B1 B gap-only,42,wk inc covid prop ed visits,2025-2026,all,52,0.20000000000000007,5586.0,2.728783986743556,0.7037463454787922,0.5162724204828428,1.5087652207819209,3.9713630861369893,1620.0,2831.0,3354.0,3745.0,2.4978404560560517,1.1562197671706884,0.6581087623077528,0.6835119265776096,3.786811212239042,2935.0,4515.0,4987.0,5231.0,1.158992417687925,1.092457278497343,0.29592580942061913,0.5214458308575957,0.6216010159262756,0.6903913413255974,0.5674912912283155,0.8383349061549755,0.9090629478172731,0.9467491524238931
B1 B gap-only,42,wk inc covid prop ed visits,2025-2026,states_dc,51,0.0,5476.0,2.6922454137011598,0.6925555552715372,0.5157261893483519,1.4839636690812703,3.9142897982383147,1584.0,2766.0,3274.0,3659.0,2.471367192877456,1.1360992269095413,0.6552800492656494,0.6799879167022647,3.7540446929893108,2849.0,4405.0,4877.0,5121.0,1.103688867579277,1.0893749101551078,0.2880890799575921,0.5040800158447217,0.5951830880896626,0.6675346312024513,0.5139095685808489,0.7979186326937193,0.8863286847715913,0.9334364405298663
B1 B gap-only,42,wk inc covid prop ed visits,2025-2026,US,1,1.0,110.0,0.036538573042396584,0.011190790207254948,0.0005462311344909601,0.024801551700650674,0.05707328789867461,36.0,65.0,80.0,86.0,0.026473263178595493,0.02012054026114717,0.002828713042103377,0.0035240098753449465,0.032766519249731174,86.0,110.0,110.0,110.0,1.380206618122515,1.380206618122515,0.32727272727272727,0.5909090909090909,0.7272727272727273,0.7818181818181819,0.7818181818181819,1.0,1.0,1.0
B1 B gap-only,42,wk inc flu hosp,2025-2026,all,52,0.20000000000000007,5824.0,576386.8430434782,222175.93,167987.69565217392,186223.21739130435,906055.0,2753.0,4315.0,4822.0,5147.0,681987.2230434783,182493.35347826086,344539.7391304348,154954.13043478262,1021199.0,3056.0,4510.0,4990.0,5252.0,0.8980731691880306,0.8451578322409893,0.5122899159663867,0.7590336134453783,0.8514355742296921,0.9035364145658263,0.5267507002801122,0.7781162464985995,0.8568627450980393,0.8984943977591039
B1 B gap-only,42,wk inc flu hosp,2025-2026,states_dc,51,0.0,5712.0,327210.8086956522,121699.33043478259,110262.21739130435,95249.26086956522,509946.0,2676.0,4221.0,4715.0,5036.0,369731.63260869565,98349.24130434783,189960.8260869565,81421.56521739133,551635.0,2996.0,4421.0,4894.0,5153.0,0.9230946053992314,0.884995439494772,0.46848739495798336,0.7389705882352942,0.8254551820728293,0.8816526610644261,0.5245098039215685,0.7739845938375353,0.8567927170868349,0.9021358543417369
B1 B gap-only,42,wk inc flu hosp,2025-2026,US,1,1.0,112.0,249176.0343478261,100476.59956521739,57725.47826086957,90973.95652173914,396109.0,77.0,94.0,107.0,111.0,312255.5904347826,84144.11217391305,154578.91304347827,73532.5652173913,469564.0,60.0,89.0,96.0,99.0,0.797987424343228,0.797987424343228,0.6875,0.8392857142857143,0.9553571428571429,0.9910714285714286,0.5357142857142857,0.7946428571428571,0.8571428571428571,0.8839285714285714
B1 B gap-only,42,wk inc flu prop ed visits,2025-2026,all,52,0.20000000000000007,5768.0,38.07033507427237,7.441918016192928,21.341703232908504,9.286713825170938,54.236531217040465,1756.0,3112.0,3780.0,4217.0,37.45877201101339,10.325401812514771,18.66849859592458,8.464871602574036,55.69990955372134,3123.0,4503.0,4944.0,5204.0,1.0043714027757666,1.0163262976981513,0.3165966386554623,0.5663165266106445,0.682387955182073,0.7544467787114846,0.5629201680672271,0.7807773109243697,0.8550420168067228,0.8987394957983195
