target,season,geography,location,horizon,n,model_wis,model_dispersion,model_underprediction,model_overprediction,model_ae_median,model_covered_50,model_covered_80,model_covered_90,model_covered_95,ensemble_wis,ensemble_dispersion,ensemble_underprediction,ensemble_overprediction,ensemble_ae_median,ensemble_covered_50,ensemble_covered_80,ensemble_covered_90,ensemble_covered_95,config_id,seed
wk inc covid hosp,2025-2026,US,US,0,45,10427.847391304347,4241.456086956521,4572.913043478261,1613.4782608695652,16271.0,18.0,37.0,41.0,43.0,15194.9245615816,7155.462650623708,5637.4429274822205,2402.01898347567,23628.878646000205,30.0,39.0,40.0,44.0,B1 B gap-only,42
wk inc covid hosp,2025-2026,US,US,1,44,16060.555652173913,4625.164347826087,7084.608695652174,4350.782608695652,24930.0,17.0,30.0,37.0,39.0,24161.217295888713,10417.029269438091,6760.11535871376,6984.07266773686,39435.808807084046,28.0,37.0,39.0,43.0,B1 B gap-only,42
wk inc covid hosp,2025-2026,US,US,2,43,22647.82608695652,5077.608695652174,10086.91304347826,7483.304347826087,34509.0,11.0,22.0,33.0,36.0,33875.41358179915,13039.934355566696,8002.435040158237,12833.044186074212,54567.84125012156,22.0,32.0,34.0,41.0,B1 B gap-only,42
wk inc covid hosp,2025-2026,US,US,3,42,29606.36608695652,5499.105217391304,12542.521739130436,11564.739130434784,44623.0,8.0,22.0,25.0,30.0,40739.00203397413,15750.85399345717,7644.437067592838,17343.71097292412,62980.05207502013,21.0,31.0,32.0,39.0,B1 B gap-only,42
wk inc covid hosp,2025-2026,states_dc,01,0,45,648.2182608695651,191.30521739130435,411.30434782608694,45.608695652173914,925.0,25.0,34.0,40.0,42.0,545.8313912993882,180.0052504233287,280.49297914887603,85.33316172718351,870.7887692513079,21.0,33.0,40.0,44.0,B1 B gap-only,42
wk inc covid hosp,2025-2026,states_dc,01,1,44,670.7747826086957,209.0791304347826,415.30434782608694,46.391304347826086,889.0,28.0,37.0,40.0,41.0,675.7366873425411,234.35185176349,281.31535783364944,160.06947774540163,1066.8705393735534,26.0,36.0,39.0,41.0,B1 B gap-only,42
wk inc covid hosp,2025-2026,states_dc,01,2,43,765.0052173913043,220.35304347826087,470.5652173913043,74.08695652173913,1103.0,23.0,35.0,40.0,40.0,830.7009692172826,283.7412649899186,321.6942723805881,225.26543184677593,1281.756736408255,23.0,32.0,38.0,40.0,B1 B gap-only,42
wk inc covid hosp,2025-2026,states_dc,01,3,42,794.4204347826087,227.94217391304346,444.0,122.47826086956522,1183.0,23.0,34.0,36.0,39.0,854.7533838776726,325.0911535736954,252.18760778273983,277.47462252123734,1308.5794585559368,27.0,35.0,38.0,40.0,B1 B gap-only,42
wk inc covid hosp,2025-2026,states_dc,02,0,45,79.22608695652174,18.05217391304348,44.95652173913044,16.217391304347828,115.0,21.0,24.0,31.0,36.0,66.14239484694365,25.29097191238883,23.585043330564112,17.266379603990707,112.06513844653719,20.0,31.0,40.0,43.0,B1 B gap-only,42
wk inc covid hosp,2025-2026,states_dc,02,1,44,83.90695652173913,20.602608695652176,45.47826086956522,17.82608695652174,126.0,17.0,25.0,29.0,34.0,73.39407826022287,31.031531175153447,19.713684051809096,22.648863033260334,123.29319092209661,19.0,35.0,38.0,41.0,B1 B gap-only,42
wk inc covid hosp,2025-2026,states_dc,02,2,43,85.11782608695653,22.987391304347828,38.73913043478261,23.391304347826086,131.0,17.0,24.0,30.0,33.0,82.94673985551051,37.79267855246506,16.49916538776847,28.654895915276974,130.29235844127726,26.0,34.0,36.0,39.0,B1 B gap-only,42
wk inc covid hosp,2025-2026,states_dc,02,3,42,91.86782608695653,25.69391304347826,38.21739130434783,27.956521739130434,138.0,18.0,25.0,31.0,33.0,94.31638640051926,43.20138734968955,16.574582284239945,34.54041676658978,150.60978584112914,21.0,31.0,37.0,39.0,B1 B gap-only,42
wk inc covid hosp,2025-2026,states_dc,04,0,45,345.76695652173913,184.2886956521739,91.08695652173913,70.39130434782608,542.0,25.0,39.0,45.0,45.0,310.1079024386455,161.57235305335493,60.44718237694168,88.08836700834891,493.8035030689793,28.0,42.0,44.0,45.0,B1 B gap-only,42
wk inc covid hosp,2025-2026,states_dc,04,1,44,459.46391304347827,212.02913043478262,69.39130434782608,178.04347826086956,697.0,27.0,33.0,42.0,43.0,422.20042829761684,228.3291714529303,49.78069410614849,144.09056273853807,660.7044457716833,26.0,41.0,43.0,44.0,B1 B gap-only,42
wk inc covid hosp,2025-2026,states_dc,04,2,43,632.6960869565218,243.08739130434782,68.04347826086956,321.5652173913044,989.0,21.0,31.0,37.0,39.0,586.2723074332862,307.99401596114484,41.93827968077992,236.3400117913614,902.9598666619517,24.0,38.0,43.0,43.0,B1 B gap-only,42
wk inc covid hosp,2025-2026,states_dc,04,3,42,795.2691304347826,275.74739130434784,60.173913043478265,459.3478260869565,1245.0,19.0,27.0,32.0,38.0,715.9654240665626,378.24849081481744,36.119440695305805,301.59749255643936,1101.3298021442786,24.0,34.0,40.0,42.0,B1 B gap-only,42
wk inc covid hosp,2025-2026,states_dc,05,0,45,225.25347826086957,86.99260869565217,86.3913043478261,51.869565217391305,352.0,21.0,36.0,37.0,38.0,258.1517907372466,79.96080428973441,132.22111102083215,45.96987542668001,415.85181175042754,15.0,39.0,42.0,43.0,B1 B gap-only,42
