candidate,seed,target,season,kind,age_days,geography,location,wis,ae_median,scaled_wis,scaled_ae,baseline_ae,baseline_scaled_ae,covered_50,covered_80,covered_90,covered_95,n,denominator_near_zero,mae_ratio,wis_ratio
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,US,US,753.6109035193402,1009.741943359375,0.027667433503256116,0.03707081193077132,,,0.75,0.875,0.875,0.875,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,AK,1.9651604446380035,3.5474475026130676,0.05000408838520495,0.09026585027525033,,,0.125,0.75,1.0,1.0,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,AL,15.704333985681119,25.214659214019775,0.03212834365358595,0.05158481964753944,,,0.5,0.75,0.875,0.875,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,AR,7.950853389890297,13.151768922805786,0.024653813626789655,0.04078068654840732,,,0.375,0.875,0.875,0.875,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,AZ,17.75766678934512,26.734299182891846,0.023775160878320413,0.03579368120725077,,,0.625,0.875,0.875,1.0,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,CA,177.06495260528897,276.2423667907715,0.05796098558645666,0.09042602505093557,,,0.25,0.25,0.5,0.625,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,CO,14.972517152454541,20.45864486694336,0.03136919659622733,0.04286328386795895,,,0.75,0.875,0.875,0.875,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,CT,13.857069928438767,22.41645050048828,0.0374718027932817,0.060617779719489104,,,0.625,0.875,1.0,1.0,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,DC,3.2268602925539014,4.936105489730835,0.04636294133648429,0.07092106521598533,,,0.125,0.25,0.5,0.625,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,DE,4.070786395409833,6.248127460479736,0.05133400542746862,0.07879101918230011,,,0.625,1.0,1.0,1.0,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,FL,122.41996195337047,183.9771270751953,0.05908300018239916,0.08879206020895,,,0.375,0.375,0.625,0.875,8,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,4,states_dc,GA,21.988122790170753,34.79239559173584,0.020999069684085905,0.033227390372485295,,,0.5,0.75,0.875,0.875,8,False,,
