name,coverage_50,coverage_95,dispersion,wis,under,over,sharpness,bias,combined_mean,combined_sd,rank
conv_control_0,43.00773218602007,84.06405970362766,1419975.8733718484,4566293.803444577,1556192.023111886,1590125.9069608431,0.3109690121780363,0.007431384249379451,0.9912109337464586,0.12455514263049,33.0
conv_control_1,41.62231303744463,83.88697708282797,1363517.5654806467,4724860.395033263,1780158.8007831168,1581184.0287694999,0.2885836726337917,-0.04211230711129111,1.0540142164606805,0.1170112696805302,70.0
conv_control_2,44.05422012860603,85.37831526705715,1357310.4912859155,4404611.514582911,1608485.0365784795,1438815.986718516,0.3081566868705887,-0.038520775168983314,0.9371622305134402,0.0604322402723898,8.0
conv_control_3,42.11288023979483,83.74300210288254,1198673.2678673442,4533071.781018356,1930964.589028361,1403433.9241226509,0.2644284771502255,-0.11637377266221013,0.9520165841306116,0.0846210388244027,14.0
independent__encoder_conv__fit_partition_all__epochs_100,43.53423537121019,85.39069353346088,1227198.7503164834,3994219.572135086,1857063.0525804712,909957.7692381316,0.3072436875723614,-0.23711898312993096,0.947169300557412,0.0875004433235386,11.0
independent__encoder_conv__fit_partition_pathogen__epochs_100,41.78878473879824,82.38071683858051,1204524.563580142,4426863.080508727,1991675.9961550208,1230662.520773564,0.27209437962597216,-0.17190806707624726,1.039223793676039,0.0583165861138426,59.0
independent__encoder_conv__fit_partition_pathogen__epochs_300,40.639874025433144,81.4470259390709,1198969.918200509,4309126.455430229,1856236.961501876,1253919.5757278444,0.27823966889846174,-0.13977714323398646,1.0512898959144297,0.0889742471936213,68.0
independent__encoder_conv__fit_partition_target__epochs_100,40.81335836508284,81.57811377337157,1290472.7193085493,4604371.716960732,1703749.399305239,1610149.5983469433,0.2802711854377319,-0.020328463189344642,1.1730201720827418,0.1606308199454204,103.0
independent__encoder_conv__fit_partition_target__epochs_300,40.29148361244867,81.7473620901321,1293652.9648258444,4695169.582900336,1713055.402819877,1688461.2152546148,0.27552848560300974,-0.005238189405305716,1.2193258480154956,0.1703615301640114,112.0
independent__encoder_mlp__fit_partition_pathogen__epochs_100,38.88310841505487,81.12141190804901,1234775.0431965669,3923727.1392086414,1641842.8803632862,1047109.2156487884,0.31469442175472045,-0.15157365525535677,0.8968259568430147,0.0193786412668916,4.0
independent__encoder_mlp__fit_partition_pathogen__epochs_300,40.2211103331745,81.91982048026408,1233293.5358933436,3901327.9088293975,1611787.020899027,1056247.352037027,0.3161214757421906,-0.14239758406482958,0.8947671964566201,0.0318158125598411,2.0
