name,seed,season,targets,cap,epochs,selected
target_mlp__direct__mask0.5,42,2023-2024,[0],100,53,23
target_mlp__direct__mask0.5,42,2023-2024,[1],100,100,78
target_mlp__direct__mask0.5,42,2023-2024,[2],100,100,84
target_mlp__direct__mask0.5,42,2023-2024,[3],100,72,42
target_mlp__direct__mask0.5,42,2023-2024,[4],100,78,48
target_mlp__direct__mask0.5,42,2023-2024,[5],100,64,34
target_mlp__direct__mask0.5,42,2024-2025,[0],100,100,87
target_mlp__direct__mask0.5,42,2024-2025,[1],100,100,76
target_mlp__direct__mask0.5,42,2024-2025,[2],100,100,71
target_mlp__direct__mask0.5,42,2024-2025,[3],100,76,46
target_mlp__direct__mask0.5,42,2024-2025,[4],100,100,76
target_mlp__direct__mask0.5,42,2024-2025,[5],100,88,58
target_mlp__direct__mask0.5,42,2025-2026,[0],100,100,99
target_mlp__direct__mask0.5,42,2025-2026,[1],100,100,91
target_mlp__direct__mask0.5,42,2025-2026,[2],100,93,63
target_mlp__direct__mask0.5,42,2025-2026,[3],100,100,98
target_mlp__direct__mask0.5,42,2025-2026,[4],100,100,99
target_mlp__direct__mask0.5,42,2025-2026,[5],100,78,48
target_mlp__direct__mask0.5,43,2023-2024,[0],100,76,46
target_mlp__direct__mask0.5,43,2023-2024,[1],100,100,92
target_mlp__direct__mask0.5,43,2023-2024,[2],100,100,87
target_mlp__direct__mask0.5,43,2023-2024,[3],100,56,26
target_mlp__direct__mask0.5,43,2023-2024,[4],100,85,55
target_mlp__direct__mask0.5,43,2023-2024,[5],100,100,79
target_mlp__direct__mask0.5,43,2024-2025,[0],100,96,66
target_mlp__direct__mask0.5,43,2024-2025,[1],100,100,100
target_mlp__direct__mask0.5,43,2024-2025,[2],100,83,53
target_mlp__direct__mask0.5,43,2024-2025,[3],100,85,55
target_mlp__direct__mask0.5,43,2024-2025,[4],100,100,97
target_mlp__direct__mask0.5,43,2024-2025,[5],100,93,63
target_mlp__direct__mask0.5,43,2025-2026,[0],100,92,62
target_mlp__direct__mask0.5,43,2025-2026,[1],100,100,90
target_mlp__direct__mask0.5,43,2025-2026,[2],100,100,73
target_mlp__direct__mask0.5,43,2025-2026,[3],100,100,91
target_mlp__direct__mask0.5,43,2025-2026,[4],100,100,82
target_mlp__direct__mask0.5,43,2025-2026,[5],100,67,37
target_mlp__direct__mask0.5,44,2023-2024,[0],100,100,74
target_mlp__direct__mask0.5,44,2023-2024,[1],100,100,89
target_mlp__direct__mask0.5,44,2023-2024,[2],100,71,41
target_mlp__direct__mask0.5,44,2023-2024,[3],100,91,61
target_mlp__direct__mask0.5,44,2023-2024,[4],100,78,48
target_mlp__direct__mask0.5,44,2023-2024,[5],100,78,48
target_mlp__direct__mask0.5,44,2024-2025,[0],100,89,59
target_mlp__direct__mask0.5,44,2024-2025,[1],100,100,100
target_mlp__direct__mask0.5,44,2024-2025,[2],100,100,76
target_mlp__direct__mask0.5,44,2024-2025,[3],100,100,98
target_mlp__direct__mask0.5,44,2024-2025,[4],100,100,93
target_mlp__direct__mask0.5,44,2024-2025,[5],100,100,98
target_mlp__direct__mask0.5,44,2025-2026,[0],100,99,69
target_mlp__direct__mask0.5,44,2025-2026,[1],100,100,100
target_mlp__direct__mask0.5,44,2025-2026,[2],100,62,32
target_mlp__direct__mask0.5,44,2025-2026,[3],100,88,58
target_mlp__direct__mask0.5,44,2025-2026,[4],100,100,89
target_mlp__direct__mask0.5,44,2025-2026,[5],100,100,92
target_mlp__direct_finalflag__mask0.5,42,2023-2024,[0],100,85,55
target_mlp__direct_finalflag__mask0.5,42,2023-2024,[1],100,100,85
target_mlp__direct_finalflag__mask0.5,42,2023-2024,[2],100,94,64
target_mlp__direct_finalflag__mask0.5,42,2023-2024,[3],100,63,33
target_mlp__direct_finalflag__mask0.5,42,2023-2024,[4],100,78,48
target_mlp__direct_finalflag__mask0.5,42,2023-2024,[5],100,87,57
target_mlp__direct_finalflag__mask0.5,42,2024-2025,[0],100,62,32
target_mlp__direct_finalflag__mask0.5,42,2024-2025,[1],100,100,97
target_mlp__direct_finalflag__mask0.5,42,2024-2025,[2],100,100,93
target_mlp__direct_finalflag__mask0.5,42,2024-2025,[3],100,75,45
target_mlp__direct_finalflag__mask0.5,42,2024-2025,[4],100,99,69
target_mlp__direct_finalflag__mask0.5,42,2024-2025,[5],100,100,99
target_mlp__direct_finalflag__mask0.5,42,2025-2026,[0],100,100,99
target_mlp__direct_finalflag__mask0.5,42,2025-2026,[1],100,100,93
target_mlp__direct_finalflag__mask0.5,42,2025-2026,[2],100,90,60
target_mlp__direct_finalflag__mask0.5,42,2025-2026,[3],100,100,95
target_mlp__direct_finalflag__mask0.5,42,2025-2026,[4],100,100,99
target_mlp__direct_finalflag__mask0.5,42,2025-2026,[5],100,100,98
target_mlp__direct_finalflag__mask0.5,43,2023-2024,[0],100,100,98
target_mlp__direct_finalflag__mask0.5,43,2023-2024,[1],100,100,98
target_mlp__direct_finalflag__mask0.5,43,2023-2024,[2],100,86,56
target_mlp__direct_finalflag__mask0.5,43,2023-2024,[3],100,100,97
target_mlp__direct_finalflag__mask0.5,43,2023-2024,[4],100,75,45
target_mlp__direct_finalflag__mask0.5,43,2023-2024,[5],100,52,22
target_mlp__direct_finalflag__mask0.5,43,2024-2025,[0],100,96,66
target_mlp__direct_finalflag__mask0.5,43,2024-2025,[1],100,100,100
target_mlp__direct_finalflag__mask0.5,43,2024-2025,[2],100,100,90
target_mlp__direct_finalflag__mask0.5,43,2024-2025,[3],100,100,94
target_mlp__direct_finalflag__mask0.5,43,2024-2025,[4],100,100,92
target_mlp__direct_finalflag__mask0.5,43,2024-2025,[5],100,100,86
target_mlp__direct_finalflag__mask0.5,43,2025-2026,[0],100,92,62
target_mlp__direct_finalflag__mask0.5,43,2025-2026,[1],100,100,99
target_mlp__direct_finalflag__mask0.5,43,2025-2026,[2],100,100,81
target_mlp__direct_finalflag__mask0.5,43,2025-2026,[3],100,100,100
target_mlp__direct_finalflag__mask0.5,43,2025-2026,[4],100,100,79
target_mlp__direct_finalflag__mask0.5,43,2025-2026,[5],100,99,69
target_mlp__direct_finalflag__mask0.5,44,2023-2024,[0],100,100,74
target_mlp__direct_finalflag__mask0.5,44,2023-2024,[1],100,100,80
target_mlp__direct_finalflag__mask0.5,44,2023-2024,[2],100,71,41
target_mlp__direct_finalflag__mask0.5,44,2023-2024,[3],100,100,83
