name,seed,combined_300,combined_screen,delta
joint_mlp__joint_aux025__mask0.5,42,0.9704972083003696,0.9729484843472932,-0.002451276046923634
joint_mlp__joint_aux025__mask0.5,43,1.0595076558046517,1.0249335281731191,0.03457412763153256
joint_mlp__joint_aux025__mask0.5,44,0.919161254036276,0.9179303264409692,0.0012309275953068521
joint_mlp__direct__mask0.5,42,0.9718946380418017,0.9721873696669636,-0.00029273162516196827
joint_mlp__direct__mask0.5,43,0.9234500035703304,0.91989221526662,0.003557788303710341
joint_mlp__direct__mask0.5,44,1.3629465999098431,1.143887148509488,0.2190594514003552
joint_mlp__direct_finalflag__mask0.5,42,0.9910889747492952,0.9906065104465852,0.0004824643027100395
joint_mlp__direct_finalflag__mask0.5,43,1.0445676221204343,1.0445564178243856,1.1204296048727969e-05
joint_mlp__direct_finalflag__mask0.5,44,0.936539663981398,0.9361329792645372,0.00040668471686078345
joint_mlp__two_stage__mask0.5,42,1.1436621603352968,1.1912895689979146,-0.04762740866261783
joint_mlp__two_stage__mask0.5,43,1.3051944546880456,1.3004470068960927,0.004747447791952908
joint_mlp__two_stage__mask0.5,44,1.1328764399054565,1.1418463325521642,-0.008969892646707667
pathogen_mlp__joint_aux025__mask0.5,42,0.9030482341808598,0.936419652113062,-0.03337141793220222
pathogen_mlp__joint_aux025__mask0.5,43,0.9306348664506282,0.9322723720124156,-0.0016375055617874335
pathogen_mlp__joint_aux025__mask0.5,44,1.0021598379741423,1.0013880511904365,0.000771786783705819
pathogen_mlp__direct__mask0.5,42,1.1983072456229351,0.95106074802206,0.24724649760087514
pathogen_mlp__direct__mask0.5,43,0.96673247939775,0.96318082308904,0.003551656308710016
pathogen_mlp__direct__mask0.5,44,1.212091037711972,1.220231527651746,-0.008140489939773898
pathogen_mlp__direct_finalflag__mask0.5,42,0.8993625030942941,0.90480687477065,-0.005444371676355919
pathogen_mlp__direct_finalflag__mask0.5,43,0.9140774673001832,0.9377006492903454,-0.023623181990162112
pathogen_mlp__direct_finalflag__mask0.5,44,1.0086250699577404,1.012872670082534,-0.004247600124793527
pathogen_mlp__two_stage__mask0.5,42,1.6061959182746668,1.082181195653952,0.5240147226207148
pathogen_mlp__two_stage__mask0.5,43,1.130900163821343,1.131404587134458,-0.0005044233131150655
pathogen_mlp__two_stage__mask0.5,44,1.139964144282036,1.097093855934279,0.04287028834775697
target_mlp__joint_aux025__mask0.5,42,0.9856259690986026,0.9542025321597052,0.031423436938897376
target_mlp__joint_aux025__mask0.5,43,0.9938300431607237,0.9887227337408184,0.005107309419905226
target_mlp__joint_aux025__mask0.5,44,1.02898275838488,1.011595985045347,0.01738677333953298
target_mlp__direct__mask0.5,42,1.0065460962598554,0.9938400866164616,0.012706009643393745
target_mlp__direct__mask0.5,43,1.0418100058634692,1.0399429271359175,0.001867078727551652
target_mlp__direct__mask0.5,44,1.0647871293116034,1.0520625897458526,0.012724539565750703
target_mlp__direct_finalflag__mask0.5,42,0.9530029242017476,0.9433557817248333,0.009647142476914339
target_mlp__direct_finalflag__mask0.5,43,1.0399162976147016,0.9718794268177176,0.06803687079698406
target_mlp__direct_finalflag__mask0.5,44,1.0929800540392374,1.0262542226013305,0.06672583143790689
target_mlp__two_stage__mask0.5,42,1.2499897581083477,1.1742478731571586,0.07574188495118905
target_mlp__two_stage__mask0.5,43,1.1418698478700338,1.1664366694831891,-0.024566821613155376
target_mlp__two_stage__mask0.5,44,1.2176884879912773,1.1968583852500174,0.02083010274125985
target_multiscale__joint_aux025__mask0.5,42,0.9351776065280556,0.9369329561015046,-0.0017553495734490276
target_multiscale__joint_aux025__mask0.5,43,0.992022992148776,0.9873128290634432,0.004710163085332786
target_multiscale__joint_aux025__mask0.5,44,1.1025407346751657,1.0902024818912086,0.01233825278395706
target_multiscale__direct__mask0.5,42,1.030400106616547,1.027690214161892,0.0027098924546549163
target_multiscale__direct__mask0.5,43,1.0646139738756146,1.0676387328170902,-0.0030247589414755804
target_multiscale__direct__mask0.5,44,1.1140587257684764,1.2048548173268017,-0.09079609155832524
target_multiscale__direct_finalflag__mask0.5,42,0.9975263172351582,0.9836606282133392,0.01386568902181895
target_multiscale__direct_finalflag__mask0.5,43,1.0439067532919752,1.0528598417941124,-0.008953088502137163
target_multiscale__direct_finalflag__mask0.5,44,1.0549303915053323,1.0561295385744252,-0.001199147069092854
target_multiscale__two_stage__mask0.5,42,1.2649687518633663,1.2724125177591363,-0.007443765895770005
target_multiscale__two_stage__mask0.5,43,1.1886911904594994,1.1970505699360252,-0.008359379476525763
target_multiscale__two_stage__mask0.5,44,1.1913462112821314,1.1496777034957526,0.04166850778637876
