name,seeds,screen,cap300,delta,delta_sd,improved
joint_mlp__direct__mask0.5,3,1.0119889111476905,1.0860970805073251,0.07410816935963453,0.12554625541953482,1
joint_mlp__direct_finalflag__mask0.5,3,0.9904319691785025,0.9907320869503758,0.0003001177718731836,0.00025305905198707565,0
joint_mlp__joint_aux025__mask0.5,3,0.9719374463204605,0.9830553727137658,0.011117926393305258,0.020396928403852276,1
joint_mlp__two_stage__mask0.5,3,1.2111943028153904,1.1939110183095998,-0.017283284505790864,0.02715908246445792,2
pathogen_mlp__direct__mask0.5,3,1.044824366254282,1.125710254244219,0.08088588798993708,0.14419107425068373,1
pathogen_mlp__direct_finalflag__mask0.5,3,0.951793398047843,0.9406883467840726,-0.011105051263770519,0.010857521042988092,3
pathogen_mlp__joint_aux025__mask0.5,3,0.956693358438638,0.9452809795352101,-0.011412378903427944,0.019055201880377362,2
pathogen_mlp__two_stage__mask0.5,3,1.1035598795742299,1.292353408792682,0.18879352921845224,0.29111900965488974,1
target_mlp__direct__mask0.5,3,1.0286152011660772,1.0377144104783094,0.009099209312232034,0.006263215662493803,0
target_mlp__direct_finalflag__mask0.5,3,0.9804964770479604,1.0286330919518956,0.048136614903935095,0.03333930595907863,0
target_mlp__joint_aux025__mask0.5,3,0.984840416981957,1.0028129235480687,0.01797250656611186,0.013167837880931814,0
target_mlp__two_stage__mask0.5,3,1.179180975963455,1.2031826979898863,0.024001722026431176,0.05022950855643017,1
target_multiscale__direct__mask0.5,3,1.1000612547685946,1.0696909354202127,-0.03037031934838197,0.05240874943208195,2
target_multiscale__direct_finalflag__mask0.5,3,1.0308833361939589,1.032121154010822,0.0012378178168629776,0.011602941450920428,2
target_multiscale__joint_aux025__mask0.5,3,1.0048160890187188,1.009913777783999,0.005097688765280273,0.007054788371498799,1
target_multiscale__two_stage__mask0.5,3,1.2063802637303047,1.2150020512016657,0.008621787471360998,0.028622960708870982,2
