Architecture,Contrast,Paired seeds,Mean Δ WIS,Seed Δ SD,Seeds improved
Target MLP,B − A,3,-0.04811872411811683,0.02122665892641414,3
Target MLP,C − B,3,0.004343939933996473,0.016727275165120386,1
Target MLP,Two-stage − B,3,0.19868449891549464,0.030355135848325245,0
Pathogen MLP,B − A,3,-0.09303096820643886,0.0995541880678448,3
Pathogen MLP,C − B,3,0.004899960390794951,0.023331325735046066,2
Pathogen MLP,Two-stage − B,3,0.1517664815263866,0.05906301146532191,0
Target convolution,B − A,3,-0.06917791857463569,0.07042540501724277,3
Target convolution,C − B,3,-0.026067247175240116,0.0529261162342807,2
Target convolution,Two-stage − B,3,0.1754969275363458,0.10129749314375673,0
Joint MLP,B − A,3,-0.021556941969187855,0.16977649681845533,1
Joint MLP,C − B,3,-0.018494522858042168,0.001014427563819794,3
Joint MLP,Two-stage − B,3,0.22076233363688783,0.03052575492439032,0
