form,stress,horizon,condition,scaled_crps,coverage_50,coverage_95
C,outage,-2,hidden,0.23595481885930458,0.10247307408361542,0.22704740481141342
C,outage,-2,visible,0.042281110136589195,0.4683738204542641,0.8671045635920411
C,outage,-1,hidden,0.250797139803591,0.04321755279611707,0.08108076413292051
C,outage,-1,visible,0.021347571191078947,0.6504801899051535,0.9475541774702508
C,recent,-2,hidden,0.05060396953051952,0.44259792023757616,0.8635702440915018
C,recent,-2,visible,0.042119716164594666,0.4600633719987187,0.8617853904243125
C,recent,-1,hidden,0.06327349691554637,0.3359214985451682,0.7313703397175686
C,recent,-1,visible,0.021010996142107892,0.650525355697905,0.9454144529980594
gated,outage,-2,hidden,0.2323530812091819,0.11051813858640866,0.2461358704590657
gated,outage,-2,visible,0.013231510346775116,0.5085678858868727,0.8662006829662398
gated,outage,-1,hidden,0.24904653331610302,0.04810008309988521,0.08726512300938757
gated,outage,-1,visible,0.017962634268678522,0.4403234308075216,0.849310214451555
gated,recent,-2,hidden,0.0453189161154178,0.5379114666359603,0.8899814581656844
gated,recent,-2,visible,0.013521550357538506,0.5167735038882068,0.8562569348535009
gated,recent,-1,hidden,0.05489469529418706,0.47991627762185063,0.8639201921474788
gated,recent,-1,visible,0.017643761168968257,0.4518573726338956,0.8434561129575823
two_stage,outage,-2,hidden,0.20162236952221785,0.14155841429307087,0.30843149564032457
two_stage,outage,-2,visible,0.014165251913493063,0.5915203633285736,0.8962613698961114
two_stage,outage,-1,hidden,0.20158963659188855,0.13478473868944724,0.28516644169452293
two_stage,outage,-1,visible,0.01932392358025498,0.49696714140383325,0.8813497222696467
two_stage,recent,-2,hidden,0.04728645609626829,0.3542802666349994,0.7090575000814721
two_stage,recent,-2,visible,0.014370201774742089,0.5907955659039847,0.881666440542492
two_stage,recent,-1,hidden,0.06294410164724072,0.2966376159610305,0.6399458506111887
two_stage,recent,-1,visible,0.018762020209725432,0.5059291397868798,0.8741817487908541
