factor,form,task,delta,sd,better,n
Revision augmentation on,B,forecast,0.02085895400745922,0.05446987260152278,4,10
Revision augmentation on,C,forecast,0.007833483227078364,0.03111561502772811,8,20
Revision augmentation on,C,nowcast,-0.06312067738880107,0.11700249805537465,14,20
Revision augmentation on,two_stage,forecast,-0.01226953658544826,0.1365012527622362,13,20
Revision augmentation on,two_stage,nowcast,-0.0637450170796947,0.11032707802241834,15,20
Revision augmentation on,gated,forecast,0.04097553865444072,0.07081062285971473,5,20
Revision augmentation on,gated,nowcast,-0.03750315879430419,0.07916830779317235,14,20
Nowcast weight 10%→20%,C,forecast,0.004901026781254303,0.04596798709898893,12,20
Nowcast weight 10%→20%,C,nowcast,-0.0552067455780048,0.11937465273795174,13,20
Nowcast weight 10%→20%,two_stage,forecast,0.0030444095719561193,0.12335845411568591,10,20
Nowcast weight 10%→20%,two_stage,nowcast,-0.02114819726649781,0.09513504320476918,9,20
Nowcast weight 10%→20%,gated,forecast,-0.017400735000073643,0.054385230935734385,13,20
Nowcast weight 10%→20%,gated,nowcast,0.00431486656381283,0.06967344104916336,8,20
