target,season,location,n,ensemble_wis
wk inc rsv prop ed visits,2023-2024,VA,10,5.820766091346741e-11
wk inc rsv prop ed visits,2023-2024,ID,10,3.2014213502407074e-10
wk inc flu prop ed visits,2025-2026,MO,10,9.999997564591467e-05
wk inc rsv prop ed visits,2023-2024,CT,10,9.999999747378752e-05
wk inc rsv prop ed visits,2023-2024,IN,10,0.0001000001138891
wk inc rsv prop ed visits,2023-2024,CO,10,0.000100000121165
wk inc rsv prop ed visits,2023-2024,SC,10,0.000100000121165
wk inc rsv prop ed visits,2023-2024,WI,10,0.000100000121165
wk inc rsv prop ed visits,2023-2024,TX,10,0.0001000001793727
wk inc rsv prop ed visits,2023-2024,NJ,10,0.0002000000240514
wk inc rsv prop ed visits,2023-2024,DE,10,0.0002000000386033
wk inc rsv prop ed visits,2023-2024,MD,10,0.0002000000458792
wk inc rsv prop ed visits,2023-2024,PA,10,0.0002000000531552
wk inc rsv prop ed visits,2023-2024,HI,10,0.000200000082259
wk inc flu prop ed visits,2023-2024,DE,10,0.0002999999851454
