name,seed,status
target_mlp__direct__mask0.5,42,complete
target_mlp__direct__mask0.5,43,complete
target_mlp__direct__mask0.5,44,complete
target_mlp__direct_finalflag__mask0.5,42,complete
target_mlp__direct_finalflag__mask0.5,43,complete
target_mlp__direct_finalflag__mask0.5,44,complete
target_mlp__joint_aux025__mask0.5,42,complete
target_mlp__joint_aux025__mask0.5,43,complete
target_mlp__joint_aux025__mask0.5,44,complete
target_mlp__two_stage__mask0.5,42,complete
target_mlp__two_stage__mask0.5,43,complete
target_mlp__two_stage__mask0.5,44,complete
target_mlp__direct_finalflag__mask0,42,complete
target_mlp__direct_finalflag__mask0,43,complete
target_mlp__direct_finalflag__mask0,44,complete
target_mlp__direct_finalflag__mask0.25,42,complete
target_mlp__direct_finalflag__mask0.25,43,complete
target_mlp__direct_finalflag__mask0.25,44,complete
target_mlp__direct_finalflag__recent_only,42,complete
target_mlp__direct_finalflag__recent_only,43,complete
target_mlp__direct_finalflag__recent_only,44,complete
target_mlp__direct_finalflag__gap_only,42,complete
target_mlp__direct_finalflag__gap_only,43,complete
target_mlp__direct_finalflag__gap_only,44,complete
target_mlp__direct_finalflag__outage_only,42,complete
target_mlp__direct_finalflag__outage_only,43,complete
target_mlp__direct_finalflag__outage_only,44,complete
target_mlp__joint_aux025__outage_only,42,complete
target_mlp__joint_aux025__outage_only,43,complete
target_mlp__joint_aux025__outage_only,44,complete
pathogen_mlp__direct__mask0.5,42,complete
pathogen_mlp__direct__mask0.5,43,complete
pathogen_mlp__direct__mask0.5,44,complete
pathogen_mlp__direct_finalflag__mask0.5,42,complete
pathogen_mlp__direct_finalflag__mask0.5,43,complete
pathogen_mlp__direct_finalflag__mask0.5,44,complete
pathogen_mlp__joint_aux025__mask0.5,42,complete
pathogen_mlp__joint_aux025__mask0.5,43,complete
pathogen_mlp__joint_aux025__mask0.5,44,complete
pathogen_mlp__two_stage__mask0.5,42,complete
pathogen_mlp__two_stage__mask0.5,43,complete
pathogen_mlp__two_stage__mask0.5,44,complete
pathogen_mlp__direct_finalflag__mask0,42,complete
pathogen_mlp__direct_finalflag__mask0,43,complete
pathogen_mlp__direct_finalflag__mask0,44,complete
pathogen_mlp__direct_finalflag__mask0.25,42,complete
pathogen_mlp__direct_finalflag__mask0.25,43,complete
pathogen_mlp__direct_finalflag__mask0.25,44,complete
pathogen_mlp__direct_finalflag__recent_only,42,complete
pathogen_mlp__direct_finalflag__recent_only,43,complete
pathogen_mlp__direct_finalflag__recent_only,44,complete
pathogen_mlp__direct_finalflag__gap_only,42,complete
pathogen_mlp__direct_finalflag__gap_only,43,complete
pathogen_mlp__direct_finalflag__gap_only,44,complete
pathogen_mlp__direct_finalflag__outage_only,42,complete
pathogen_mlp__direct_finalflag__outage_only,43,complete
pathogen_mlp__direct_finalflag__outage_only,44,complete
pathogen_mlp__joint_aux025__outage_only,42,complete
pathogen_mlp__joint_aux025__outage_only,43,complete
pathogen_mlp__joint_aux025__outage_only,44,complete
target_multiscale__direct__mask0.5,42,complete
target_multiscale__direct__mask0.5,43,complete
target_multiscale__direct__mask0.5,44,complete
target_multiscale__direct_finalflag__mask0.5,42,complete
target_multiscale__direct_finalflag__mask0.5,43,complete
target_multiscale__direct_finalflag__mask0.5,44,complete
target_multiscale__joint_aux025__mask0.5,42,complete
target_multiscale__joint_aux025__mask0.5,43,complete
target_multiscale__joint_aux025__mask0.5,44,complete
target_multiscale__two_stage__mask0.5,42,complete
target_multiscale__two_stage__mask0.5,43,complete
target_multiscale__two_stage__mask0.5,44,complete
target_multiscale__direct_finalflag__mask0,42,complete
target_multiscale__direct_finalflag__mask0,43,complete
target_multiscale__direct_finalflag__mask0,44,complete
target_multiscale__direct_finalflag__mask0.25,42,complete
target_multiscale__direct_finalflag__mask0.25,43,complete
target_multiscale__direct_finalflag__mask0.25,44,complete
target_multiscale__direct_finalflag__recent_only,42,complete
target_multiscale__direct_finalflag__recent_only,43,complete
target_multiscale__direct_finalflag__recent_only,44,complete
target_multiscale__direct_finalflag__gap_only,42,complete
target_multiscale__direct_finalflag__gap_only,43,complete
target_multiscale__direct_finalflag__gap_only,44,complete
target_multiscale__direct_finalflag__outage_only,42,complete
target_multiscale__direct_finalflag__outage_only,43,complete
target_multiscale__direct_finalflag__outage_only,44,complete
target_multiscale__joint_aux025__outage_only,42,complete
target_multiscale__joint_aux025__outage_only,43,complete
target_multiscale__joint_aux025__outage_only,44,complete
joint_mlp__direct__mask0.5,42,complete
joint_mlp__direct__mask0.5,43,complete
joint_mlp__direct__mask0.5,44,complete
joint_mlp__direct_finalflag__mask0.5,42,complete
joint_mlp__direct_finalflag__mask0.5,43,complete
joint_mlp__direct_finalflag__mask0.5,44,complete
joint_mlp__joint_aux025__mask0.5,42,complete
joint_mlp__joint_aux025__mask0.5,43,complete
joint_mlp__joint_aux025__mask0.5,44,complete
joint_mlp__two_stage__mask0.5,42,complete
joint_mlp__two_stage__mask0.5,43,complete
joint_mlp__two_stage__mask0.5,44,complete
joint_mlp__direct_finalflag__mask0,42,complete
joint_mlp__direct_finalflag__mask0,43,complete
joint_mlp__direct_finalflag__mask0,44,complete
joint_mlp__direct_finalflag__mask0.25,42,complete
joint_mlp__direct_finalflag__mask0.25,43,complete
joint_mlp__direct_finalflag__mask0.25,44,complete
joint_mlp__direct_finalflag__recent_only,42,complete
joint_mlp__direct_finalflag__recent_only,43,complete
joint_mlp__direct_finalflag__recent_only,44,complete
joint_mlp__direct_finalflag__gap_only,42,complete
joint_mlp__direct_finalflag__gap_only,43,complete
joint_mlp__direct_finalflag__gap_only,44,complete
joint_mlp__direct_finalflag__outage_only,42,complete
joint_mlp__direct_finalflag__outage_only,43,complete
joint_mlp__direct_finalflag__outage_only,44,complete
joint_mlp__joint_aux025__outage_only,42,complete
joint_mlp__joint_aux025__outage_only,43,complete
joint_mlp__joint_aux025__outage_only,44,complete
