name,gap,natural,outage,recent
joint_mlp__direct__mask0.5,1.0123211279473527,1.0119889111476905,1.6692940291653537,1.1142766516356193
joint_mlp__direct_finalflag__gap_only,1.0565646310893004,1.0554540575613836,1.7486695498962064,1.3939389966743025
joint_mlp__direct_finalflag__mask0,1.0647129670875544,1.0633689294597513,1.7404972620154482,1.3982160295557577
joint_mlp__direct_finalflag__mask0.25,1.0585833854281093,1.0581021969919766,1.7061334143143971,1.14667403964055
joint_mlp__direct_finalflag__mask0.5,0.9905910269198754,0.9904319691785025,1.651363376867751,1.0801969452902995
joint_mlp__direct_finalflag__outage_only,0.9831608720590611,0.98145868902808,1.6254816816830644,1.4054584995929968
joint_mlp__direct_finalflag__recent_only,1.055880410219908,1.0553081669621702,1.740543141034575,1.1203166200972998
joint_mlp__joint_aux025__mask0.5,0.9720605471823137,0.9719374463204605,1.6482588684358215,1.061520599295002
joint_mlp__joint_aux025__outage_only,1.1127326986851889,1.1116240383792506,1.702111336512571,1.7868754864345153
joint_mlp__two_stage__mask0.5,1.2119206333018675,1.2111943028153904,1.7869248432001423,1.2607420394719222
pathogen_mlp__direct__mask0.5,1.044769189309269,1.044824366254282,1.670647538336853,1.1145754554567295
pathogen_mlp__direct_finalflag__gap_only,0.976109349085701,0.9750058413786574,1.7133217372207656,1.1683715429896788
pathogen_mlp__direct_finalflag__mask0,0.9577384392297904,0.9564131033693913,1.7200023000794264,1.145859368813019
pathogen_mlp__direct_finalflag__mask0.25,1.0536694028140603,1.0531967187348183,1.731599569897617,1.1418167283283915
pathogen_mlp__direct_finalflag__mask0.5,0.9520223747462726,0.9517933980478431,1.6521762831466669,1.036098785618314
pathogen_mlp__direct_finalflag__outage_only,0.9654505469654486,0.9642405636203769,1.638055179587786,1.2096288616248065
pathogen_mlp__direct_finalflag__recent_only,1.0217425397657125,1.0213379053019824,1.7240647320291271,1.09985946967322
pathogen_mlp__joint_aux025__mask0.5,0.9571105544952786,0.956693358438638,1.6451029756131759,1.0347500735302189
pathogen_mlp__joint_aux025__outage_only,1.0676167777615968,1.066588744156384,1.7093593550671933,1.363008525726352
pathogen_mlp__two_stage__mask0.5,1.1037323467605547,1.1035598795742299,1.6811465176620721,1.1800439778387053
target_mlp__direct__mask0.5,1.0287688448961425,1.0286152011660772,1.6498568015140676,1.1171206606949449
target_mlp__direct_finalflag__gap_only,0.9401891026778765,0.9388746483062809,1.7155739469260805,1.104753836260655
target_mlp__direct_finalflag__mask0,0.953910214367005,0.9530385319526081,1.725970794331376,1.1391746945498191
target_mlp__direct_finalflag__mask0.25,0.9830017672940369,0.9821686055297706,1.659261442570763,1.0816707997126709
target_mlp__direct_finalflag__mask0.5,0.9809322963960444,0.9804964770479604,1.6453175878404256,1.0756313086453877
target_mlp__direct_finalflag__outage_only,1.0928114949369043,1.0919976542749519,1.6919502886340325,1.2704695601506355
target_mlp__direct_finalflag__recent_only,1.0065870191299808,1.0064656345728784,1.708306890485735,1.0939166780109402
target_mlp__joint_aux025__mask0.5,0.9850062384008399,0.984840416981957,1.6172767403074382,1.0649922797397573
target_mlp__joint_aux025__outage_only,1.0256980521135255,1.0246832151738101,1.6571077413328767,1.2625310618811596
target_mlp__two_stage__mask0.5,1.1788524020477393,1.179180975963455,1.4319977456387347,1.2309360044044988
target_multiscale__direct__mask0.5,1.1002162538644382,1.1000612547685946,1.733699326638779,1.1756381715196278
target_multiscale__direct_finalflag__gap_only,0.9789565162356478,0.977800828359063,1.7945214776828387,1.825660542733151
target_multiscale__direct_finalflag__mask0,0.9814893977550844,0.9803395484656617,1.8169516183602712,1.9084937110448366
target_multiscale__direct_finalflag__mask0.25,1.0377340243052853,1.0374228185470176,1.7290494455992895,1.1732140167832974
target_multiscale__direct_finalflag__mask0.5,1.0311882226980051,1.0308833361939589,1.7088875302732085,1.1744450019031107
target_multiscale__direct_finalflag__outage_only,1.0741112884125623,1.0729572446360225,1.7205287903857578,1.7125201768218783
target_multiscale__direct_finalflag__recent_only,1.0710134623609242,1.0706560701112358,1.7629890117784106,1.177010527855671
target_multiscale__joint_aux025__mask0.5,1.0051725140925785,1.0048160890187188,1.6747653767593185,1.151548789070673
target_multiscale__joint_aux025__outage_only,1.047576489498064,1.046800569671796,1.6817372451876385,1.9426753961576264
target_multiscale__two_stage__mask0.5,1.206384288789464,1.2063802637303047,1.322997766354266,1.32405535317173
