date,season,regime,target,age,geography,eligible_finals,genuine_reports,paired_reports
2023-08-26,2023-2024,Previous regime,nhsn_covid_admissions,11,US,0,0,0
2023-08-26,2023-2024,Previous regime,nhsn_covid_admissions,11,states,0,0,0
2023-08-26,2023-2024,Previous regime,nhsn_flu_admissions,11,US,0,0,0
2023-08-26,2023-2024,Previous regime,nhsn_flu_admissions,11,states,0,0,0
2023-08-26,2023-2024,Previous regime,nhsn_rsv_admissions,11,US,0,0,0
2023-08-26,2023-2024,Previous regime,nhsn_rsv_admissions,11,states,0,0,0
2023-08-26,2023-2024,Previous regime,nssp_covid_proportion,11,US,0,0,0
2023-08-26,2023-2024,Previous regime,nssp_covid_proportion,11,states,0,0,0
2023-08-26,2023-2024,Previous regime,nssp_flu_proportion,11,US,0,0,0
2023-08-26,2023-2024,Previous regime,nssp_flu_proportion,11,states,0,0,0
2023-08-26,2023-2024,Previous regime,nssp_rsv_proportion,11,US,0,0,0
2023-08-26,2023-2024,Previous regime,nssp_rsv_proportion,11,states,0,0,0
2023-09-02,2023-2024,Previous regime,nhsn_covid_admissions,4,US,1,0,0
2023-09-02,2023-2024,Previous regime,nhsn_covid_admissions,4,states,51,0,0
2023-09-02,2023-2024,Previous regime,nhsn_covid_admissions,11,US,1,0,0
2023-09-02,2023-2024,Previous regime,nhsn_covid_admissions,11,states,51,0,0
2023-09-02,2023-2024,Previous regime,nhsn_flu_admissions,4,US,1,0,0
2023-09-02,2023-2024,Previous regime,nhsn_flu_admissions,4,states,51,0,0
2023-09-02,2023-2024,Previous regime,nhsn_flu_admissions,11,US,1,0,0
2023-09-02,2023-2024,Previous regime,nhsn_flu_admissions,11,states,51,0,0
2023-09-02,2023-2024,Previous regime,nhsn_rsv_admissions,4,US,0,0,0
2023-09-02,2023-2024,Previous regime,nhsn_rsv_admissions,4,states,0,0,0
2023-09-02,2023-2024,Previous regime,nhsn_rsv_admissions,11,US,0,0,0
2023-09-02,2023-2024,Previous regime,nhsn_rsv_admissions,11,states,0,0,0
2023-09-02,2023-2024,Previous regime,nssp_covid_proportion,4,US,1,0,0
2023-09-02,2023-2024,Previous regime,nssp_covid_proportion,4,states,51,0,0
2023-09-02,2023-2024,Previous regime,nssp_covid_proportion,11,US,1,0,0
2023-09-02,2023-2024,Previous regime,nssp_covid_proportion,11,states,51,0,0
2023-09-02,2023-2024,Previous regime,nssp_flu_proportion,4,US,1,0,0
2023-09-02,2023-2024,Previous regime,nssp_flu_proportion,4,states,51,0,0
2023-09-02,2023-2024,Previous regime,nssp_flu_proportion,11,US,1,0,0
2023-09-02,2023-2024,Previous regime,nssp_flu_proportion,11,states,51,0,0
2023-09-02,2023-2024,Previous regime,nssp_rsv_proportion,4,US,0,0,0
2023-09-02,2023-2024,Previous regime,nssp_rsv_proportion,4,states,0,0,0
2023-09-02,2023-2024,Previous regime,nssp_rsv_proportion,11,US,0,0,0
2023-09-02,2023-2024,Previous regime,nssp_rsv_proportion,11,states,0,0,0
2023-09-09,2023-2024,Previous regime,nhsn_covid_admissions,4,US,1,0,0
2023-09-09,2023-2024,Previous regime,nhsn_covid_admissions,4,states,51,0,0
2023-09-09,2023-2024,Previous regime,nhsn_covid_admissions,11,US,1,0,0
2023-09-09,2023-2024,Previous regime,nhsn_covid_admissions,11,states,51,0,0
2023-09-09,2023-2024,Previous regime,nhsn_flu_admissions,4,US,1,0,0
2023-09-09,2023-2024,Previous regime,nhsn_flu_admissions,4,states,51,0,0
